InstrumentName, I-25 Globeville,
StartTime, 2022-09-01 00:00:00,
EndTime, 2022-09-30 23:59:59,
Date,NO2,PM2.5
09/23/2022 20:00:00.000000,21.0,2.5
09/23/2022 21:00:00.000000,14.0,2.2
09/23/2022 22:00:00.000000,21.0,3.3
09/23/2022 23:00:00.000000,25.0,2.0
09/24/2022 00:00:00.000000,30.0,3.0
09/24/2022 01:00:00.000000,30.0,3.9
09/24/2022 02:00:00.000000,22.0,3.7
09/24/2022 03:00:00.000000,26.0,4.2
09/24/2022 04:00:00.000000,,7.0
09/24/2022 05:00:00.000000,52.0,9.7
09/24/2022 06:00:00.000000,40.0,8.2
09/24/2022 07:00:00.000000,,7.8
09/24/2022 09:00:00.000000,29.0,3.8
09/24/2022 10:00:00.000000,30.0,4.6
09/24/2022 11:00:00.000000,30.0,4.5
09/24/2022 12:00:00.000000,29.0,4.6
09/24/2022 13:00:00.000000,29.0,5.3
09/24/2022 14:00:00.000000,31.0,4.7
09/24/2022 15:00:00.000000,16.0,3.8
09/24/2022 16:00:00.000000,13.0,2.9
09/24/2022 17:00:00.000000,9.0,1.8
09/24/2022 18:00:00.000000,14.0,1.9
09/24/2022 19:00:00.000000,9.0,2.2
09/24/2022 20:00:00.000000,12.0,2.0
09/24/2022 21:00:00.000000,11.0,2.0
09/24/2022 22:00:00.000000,20.0,2.4
09/24/2022 23:00:00.000000,5.0,1.6
09/25/2022 00:00:00.000000,4.0,2.0
09/25/2022 01:00:00.000000,17.0,3.0
09/25/2022 02:00:00.000000,45.0,5.7
09/25/2022 03:00:00.000000,54.0,8.9
09/25/2022 04:00:00.000000,,9.4
09/25/2022 05:00:00.000000,33.0,7.8
09/25/2022 06:00:00.000000,19.0,6.3
09/25/2022 07:00:00.000000,,7.0
09/25/2022 09:00:00.000000,42.0,9.4
09/25/2022 10:00:00.000000,20.0,8.8
09/25/2022 11:00:00.000000,22.0,8.2
09/25/2022 12:00:00.000000,26.0,8.2
09/25/2022 13:00:00.000000,21.0,7.7
09/25/2022 14:00:00.000000,18.0,7.5
09/25/2022 15:00:00.000000,15.0,8.3
09/25/2022 16:00:00.000000,10.0,6.9
09/25/2022 17:00:00.000000,8.0,6.1
09/25/2022 18:00:00.000000,9.0,5.9
