InstrumentName, Lake Arbot,,
StartTime, 2018-01-01 00:00:00,,
EndTime, 2018-01-31 23:59:59,,
Date,PM2.5,humidity,temp_f
01/01/2018 19:18:48.540000,39.49,31.0,38.0
01/01/2018 19:21:28.553333,39.8,31.0,38.0
01/01/2018 19:22:48.700000,39.27,31.0,38.0
01/01/2018 19:25:29.170000,39.81,31.0,38.0
01/01/2018 19:26:48.590000,39.03,31.0,38.0
01/01/2018 19:29:28.563333,39.19,31.0,38.0
01/01/2018 19:30:48.580000,40.29,31.0,38.0
01/01/2018 19:33:29.776666,39.98,31.0,39.0
01/01/2018 19:34:48.593333,39.49,31.0,39.0
01/01/2018 19:37:28.586666,37.9,30.0,38.0
01/01/2018 19:38:49.513333,40.07,30.0,39.0
01/01/2018 19:41:28.566666,41.52,31.0,39.0
01/01/2018 19:42:48.786666,40.93,30.0,39.0
01/01/2018 19:45:28.893333,39.4,30.0,39.0
01/01/2018 19:46:48.653333,39.03,30.0,39.0
01/01/2018 19:49:28.586666,39.88,30.0,38.0
01/01/2018 19:50:48.826666,38.86,30.0,39.0
01/01/2018 19:53:28.633333,39.17,30.0,39.0
01/01/2018 19:54:48.816666,38.84,30.0,39.0
01/01/2018 19:57:28.576666,38.15,30.0,39.0
01/01/2018 19:58:48.776666,39.05,29.0,40.0
01/01/2018 20:01:28.726666,36.76,29.0,40.0
01/01/2018 20:02:48.603333,38.9,29.0,40.0
01/01/2018 20:05:28.603333,40.05,29.0,40.0
01/01/2018 20:06:48.576666,37.79,29.0,40.0
01/01/2018 20:09:28.736666,37.24,29.0,41.0
01/01/2018 20:10:48.666666,37.95,29.0,41.0
01/01/2018 20:13:28.656666,37.74,29.0,41.0
01/01/2018 20:14:48.593333,37.39,29.0,41.0
01/01/2018 20:17:28.593333,37.07,29.0,41.0
01/01/2018 20:18:48.736666,37.62,28.0,41.0
01/01/2018 20:21:28.643333,38.34,28.0,41.0
01/01/2018 20:22:48.643333,38.44,28.0,41.0
01/01/2018 20:25:28.623333,38.49,28.0,42.0
01/01/2018 20:26:49.013333,37.98,28.0,42.0
01/01/2018 20:29:28.780000,37.61,27.0,41.0
01/01/2018 20:30:48.646666,38.15,28.0,41.0
