InstrumentName, I-25 Denver
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,CO,NO2,PM2.5
10/25/2021 14:00:00,,37.0,7.2
10/25/2021 16:00:00,0.621,31.0,8.7
10/25/2021 17:00:00,0.676,37.0,13.1
10/25/2021 18:00:00,0.696,40.0,13.5
10/25/2021 19:00:00,0.577,36.0,12.0
10/25/2021 20:00:00,0.579,,12.4
10/25/2021 21:00:00,0.607,,7.6
10/25/2021 22:00:00,0.638,31.0,8.1
10/25/2021 23:00:00,0.689,37.0,10.5
10/26/2021 01:00:00,0.81,43.0,14.0
10/26/2021 02:00:00,1.266,44.0,18.0
10/26/2021 03:00:00,1.528,43.0,18.3
10/26/2021 04:00:00,1.576,,18.4
10/26/2021 05:00:00,1.599,39.0,17.4
10/26/2021 06:00:00,1.432,39.0,
10/26/2021 07:00:00,1.1,37.0,12.7
10/26/2021 09:00:00,0.54,38.0,5.6
10/26/2021 10:00:00,0.421,32.0,4.5
10/26/2021 12:00:00,0.631,33.0,4.2
10/26/2021 13:00:00,0.876,43.0,9.2
10/26/2021 14:00:00,0.708,40.0,9.4
10/26/2021 15:00:00,0.51,31.0,5.4
10/26/2021 17:00:00,0.335,21.0,5.4
10/26/2021 18:00:00,0.422,20.0,4.9
10/26/2021 19:00:00,0.519,28.0,3.9
10/26/2021 20:00:00,0.528,27.0,3.5
10/26/2021 22:00:00,0.295,21.0,2.2
10/26/2021 23:00:00,0.208,10.0,2.6
10/27/2021 00:00:00,0.317,16.0,2.8
10/27/2021 01:00:00,0.314,16.0,6.8
10/27/2021 03:00:00,0.177,7.0,2.0
10/27/2021 04:00:00,0.371,,1.8
10/27/2021 05:00:00,0.36,22.0,2.0
10/27/2021 06:00:00,0.512,25.0,2.6
10/27/2021 07:00:00,0.492,24.0,2.8
10/27/2021 09:00:00,0.184,7.0,1.2
10/27/2021 10:00:00,0.176,5.0,0.9
10/27/2021 11:00:00,0.354,11.0,1.3
10/27/2021 12:00:00,0.773,30.0,2.6
10/27/2021 13:00:00,0.539,35.0,3.3
10/27/2021 14:00:00,0.62,29.0,2.8
10/27/2021 15:00:00,0.501,23.0,2.3
10/27/2021 16:00:00,0.375,16.0,3.1
10/27/2021 18:00:00,0.358,15.0,2.4
10/27/2021 19:00:00,0.389,,2.0
10/27/2021 20:00:00,0.298,,4.8
10/27/2021 21:00:00,0.359,,3.5
10/27/2021 22:00:00,0.296,,1.8
10/27/2021 23:00:00,0.355,,2.1
10/28/2021 01:00:00,0.489,,1.3
10/28/2021 02:00:00,0.395,,1.9
10/28/2021 03:00:00,0.481,,3.0
10/28/2021 04:00:00,0.421,,3.6
10/28/2021 05:00:00,0.371,,2.2
10/28/2021 06:00:00,0.358,,2.7
10/28/2021 07:00:00,0.185,,1.4
10/28/2021 09:00:00,0.157,,1.0
10/28/2021 10:00:00,0.214,,1.2
10/28/2021 11:00:00,0.508,,2.7
10/28/2021 12:00:00,0.691,,4.0
10/28/2021 13:00:00,0.665,,4.1
10/28/2021 14:00:00,0.603,,4.3
10/28/2021 15:00:00,0.32,,2.9
