InstrumentName, I-25 Globeville,
StartTime, 2018-10-01 00:00:00,
EndTime, 2018-10-31 23:59:59,
Date,NO2,PM2.5
10/23/2018 09:00:00.000000,32.0,9.4
10/23/2018 10:00:00.000000,35.0,10.5
10/23/2018 11:00:00.000000,35.0,12.0
10/23/2018 12:00:00.000000,38.0,14.5
10/23/2018 13:00:00.000000,37.0,16.1
10/23/2018 14:00:00.000000,39.0,19.2
10/23/2018 15:00:00.000000,34.0,19.7
10/23/2018 16:00:00.000000,25.0,20.1
10/23/2018 17:00:00.000000,33.0,22.8
10/23/2018 18:00:00.000000,39.0,25.2
10/23/2018 19:00:00.000000,42.0,26.8
10/23/2018 20:00:00.000000,44.0,27.1
10/23/2018 21:00:00.000000,46.0,26.2
10/23/2018 22:00:00.000000,40.0,25.0
10/23/2018 23:00:00.000000,35.0,24.1
10/24/2018 00:00:00.000000,45.0,23.8
10/24/2018 01:00:00.000000,45.0,24.2
10/24/2018 02:00:00.000000,50.0,24.2
10/24/2018 03:00:00.000000,47.0,24.0
10/24/2018 04:00:00.000000,50.0,24.6
10/24/2018 05:00:00.000000,,23.8
10/24/2018 06:00:00.000000,45.0,23.7
10/24/2018 07:00:00.000000,40.0,23.7
10/24/2018 08:00:00.000000,40.0,23.7
10/24/2018 09:00:00.000000,27.0,20.4
10/24/2018 10:00:00.000000,30.0,19.0
10/24/2018 11:00:00.000000,32.0,20.9
10/24/2018 12:00:00.000000,39.0,22.6
10/24/2018 13:00:00.000000,39.0,22.5
10/24/2018 14:00:00.000000,40.0,23.1
10/24/2018 15:00:00.000000,42.0,24.3
10/24/2018 16:00:00.000000,48.0,25.7
10/24/2018 17:00:00.000000,39.0,23.1
10/24/2018 18:00:00.000000,32.0,17.7
10/24/2018 19:00:00.000000,23.0,15.2
10/24/2018 20:00:00.000000,19.0,14.4
10/24/2018 21:00:00.000000,18.0,12.4
10/24/2018 22:00:00.000000,14.0,11.3
10/24/2018 23:00:00.000000,18.0,10.5
10/25/2018 00:00:00.000000,34.0,11.1
10/25/2018 01:00:00.000000,52.0,13.8
10/25/2018 02:00:00.000000,52.0,16.7
10/25/2018 03:00:00.000000,47.0,16.9
10/25/2018 04:00:00.000000,45.0,16.5
10/25/2018 05:00:00.000000,,16.8
10/25/2018 06:00:00.000000,38.0,15.2
10/25/2018 07:00:00.000000,36.0,14.1
10/25/2018 08:00:00.000000,37.0,13.4
10/25/2018 09:00:00.000000,37.0,12.2
10/25/2018 10:00:00.000000,43.0,13.3
10/25/2018 11:00:00.000000,39.0,12.8
10/25/2018 12:00:00.000000,43.0,14.0
10/25/2018 13:00:00.000000,48.0,16.7
10/25/2018 14:00:00.000000,51.0,21.0
10/25/2018 15:00:00.000000,49.0,22.4
10/25/2018 16:00:00.000000,51.0,22.7
10/25/2018 17:00:00.000000,29.0,16.6
10/25/2018 18:00:00.000000,18.0,11.8
10/25/2018 19:00:00.000000,18.0,9.4
10/25/2018 20:00:00.000000,15.0,7.9
10/25/2018 21:00:00.000000,20.0,7.2
10/25/2018 22:00:00.000000,13.0,6.5
10/25/2018 23:00:00.000000,15.0,6.5
10/26/2018 00:00:00.000000,21.0,6.4
10/26/2018 01:00:00.000000,26.0,5.9
10/26/2018 02:00:00.000000,32.0,6.1
10/26/2018 03:00:00.000000,36.0,6.7
10/26/2018 04:00:00.000000,48.0,8.9
10/26/2018 05:00:00.000000,,9.4
10/26/2018 06:00:00.000000,38.0,8.6
10/26/2018 07:00:00.000000,34.0,7.2
10/26/2018 08:00:00.000000,33.0,7.2
10/26/2018 09:00:00.000000,30.0,5.9
10/26/2018 10:00:00.000000,33.0,5.9
10/26/2018 11:00:00.000000,36.0,6.5
10/26/2018 12:00:00.000000,40.0,8.6
10/26/2018 13:00:00.000000,43.0,10.2
10/26/2018 14:00:00.000000,44.0,13.3
10/26/2018 15:00:00.000000,48.0,16.6
10/26/2018 16:00:00.000000,43.0,15.8
10/26/2018 17:00:00.000000,35.0,14.0
10/26/2018 18:00:00.000000,28.0,11.5
10/26/2018 19:00:00.000000,28.0,10.7
10/26/2018 20:00:00.000000,29.0,17.9
10/26/2018 21:00:00.000000,,12.1
10/26/2018 22:00:00.000000,24.0,9.3
